,blazars/bla1823.dat,blazars/bla1802.dat,blazars/bla1731.dat,blazars/bla1717.dat
Amplitude,1.072769,1.8001639999999997,1.6040429999999999,0.5784122500000004
Autocor_length,3.0,7.0,2.0,1.0
Beyond1Std,0.09090909090909091,0.32653061224489793,0.08,0.047619047619047616
CAR_mean,2650.1113184331607,2278.572226838228,2532.308963054898,80275.02541492046
CAR_sigma,9.43994025290045,15.37745563259751,10.534787955622079,22.82205084414396
CAR_tau,0.00495524175961459,0.006534193116117852,0.005337450017826669,0.0001830809053920484
Con,0.023809523809523808,0.0,0.0,0.0
Eta_e,20073201.93022087,4988604.270370119,9446545.176739726,12487615.338941399
FluxPercentileRatioMid20,0.04147941189069807,0.15257878875122935,0.01820626751717002,0.09146439251049791
FluxPercentileRatioMid35,0.1056155014112538,0.3470049710134725,0.03374017058576931,0.17271466748413813
FluxPercentileRatioMid50,0.12905800653983604,0.4466070600826943,0.06591671340058242,0.24170431144472257
FluxPercentileRatioMid65,0.1455480087768977,0.4751106020292483,0.12401754147621642,0.3514212766440595
FluxPercentileRatioMid80,0.46984440520331094,0.5977872816433191,0.1583680967137742,0.5037928621810814
Freq1_harmonics_amplitude_0,0.5234154931717685,1.1754918692083474,0.6278832349899973,0.3665599324277105
Freq1_harmonics_amplitude_1,0.14084065903450996,0.5517090351552694,0.2952864571301158,0.05120003399077949
Freq1_harmonics_amplitude_2,0.25496204552564655,0.5052430096899357,0.24827521898104346,0.07332039832241218
Freq1_harmonics_amplitude_3,0.21944086412165825,0.2817840232910497,0.2786889353517393,0.1759244637821425
Freq1_harmonics_rel_phase_0,0.0,0.0,0.0,0.0
Freq1_harmonics_rel_phase_1,-2.129844617950708,-1.4220826507147462,-0.07283057540856008,-1.4768482328988521
Freq1_harmonics_rel_phase_2,-1.2984024338097924,-2.1765044381132137,-1.9422539819546116,-0.45851078647335375
Freq1_harmonics_rel_phase_3,-2.4157689183770037,0.5466743455512325,-2.4946651869340633,-1.6191319245070714
Freq2_harmonics_amplitude_0,0.32330177602888005,0.5841432899785339,0.6407968570318715,0.2072601638863107
Freq2_harmonics_amplitude_1,0.08156691716183823,0.17401119580703514,0.21019490979731845,0.04064313601461961
Freq2_harmonics_amplitude_2,0.170847300692428,0.2232242943967949,0.14121599769655627,0.06693009940131127
Freq2_harmonics_amplitude_3,0.1018342606840022,0.09257107951707105,0.07409412169093846,0.10036474299425543
Freq2_harmonics_rel_phase_0,0.0,0.0,0.0,0.0
Freq2_harmonics_rel_phase_1,-1.2757195909870596,-1.5453260957992505,-0.9981897785793977,-1.968346103193852
Freq2_harmonics_rel_phase_2,0.9196634009613108,-0.03164654901642672,0.12159811742269011,-0.26279185629882873
Freq2_harmonics_rel_phase_3,1.1780563435519416,-1.638124917026647,-1.937652877133706,-0.3439720150015959
Freq3_harmonics_amplitude_0,0.23361583690399026,0.2663759887572082,0.38814169772730195,0.16333440253187517
Freq3_harmonics_amplitude_1,0.045845964687087105,0.13632603593499662,0.24924591986552105,0.06129293295928624
